seed,RejRate
396.0,0.5255000000000001
397.0,0.5375
398.0,0.5125
399.0,0.512
400.0,0.5355
401.0,0.5235000000000001
402.0,0.52
403.0,0.5429999999999999
404.0,0.5365
405.0,0.5365
406.0,0.54
407.0,0.5085
408.0,0.5429999999999999
409.0,0.5429999999999999
410.0,0.5389999999999999
411.0,0.527
412.0,0.5275000000000001
413.0,0.5429999999999999
414.0,0.5375
415.0,0.5375
416.0,0.5165
417.0,0.5285
418.0,0.519
419.0,0.5425
420.0,0.5585
421.0,0.5355
422.0,0.528
423.0,0.5369999999999999
424.0,0.544
425.0,0.5329999999999999
426.0,0.521
427.0,0.5235000000000001
428.0,0.5265
429.0,0.531
430.0,0.5155000000000001
431.0,0.5225
432.0,0.5245
433.0,0.546
434.0,0.5335
435.0,0.524
436.0,0.527
437.0,0.5345
438.0,0.5205
439.0,0.544
440.0,0.526
441.0,0.546
442.0,0.52
443.0,0.522
444.0,0.5355
445.0,0.525
446.0,0.5495
447.0,0.5275000000000001
448.0,0.512
449.0,0.5485
450.0,0.5449999999999999
451.0,0.5175000000000001
452.0,0.5245
453.0,0.5125
454.0,0.5105
455.0,0.517
456.0,0.49950000000000006
457.0,0.522
458.0,0.5325
459.0,0.528
460.0,0.524
461.0,0.5549999999999999
462.0,0.534
463.0,0.5335
464.0,0.5215000000000001
465.0,0.5245
466.0,0.5315
467.0,0.528
468.0,0.5435
469.0,0.5335
470.0,0.5425
471.0,0.5425
472.0,0.5389999999999999
473.0,0.5135000000000001
474.0,0.5205
475.0,0.5469999999999999
476.0,0.5325
477.0,0.5409999999999999
478.0,0.524
479.0,0.5255000000000001
480.0,0.5205
481.0,0.529
482.0,0.5305
483.0,0.52
484.0,0.5385
485.0,0.5329999999999999
486.0,0.5125
487.0,0.5155000000000001
488.0,0.5435
489.0,0.5485
490.0,0.5135000000000001
491.0,0.5355
492.0,0.5195000000000001
493.0,0.528
494.0,0.529
495.0,0.5315
496.0,0.5305
497.0,0.531
498.0,0.5469999999999999
499.0,0.513
500.0,0.5385
501.0,0.5375
502.0,0.5325
503.0,0.5349999999999999
504.0,0.5369999999999999
505.0,0.534
506.0,0.5175000000000001
507.0,0.532
508.0,0.5115000000000001
509.0,0.5349999999999999
510.0,0.5275000000000001
511.0,0.5255000000000001
512.0,0.5465
513.0,0.5449999999999999
514.0,0.5305
515.0,0.5345
516.0,0.5349999999999999
517.0,0.52
518.0,0.52
519.0,0.526
520.0,0.5369999999999999
521.0,0.53
522.0,0.5205
523.0,0.525
524.0,0.54
525.0,0.5285
526.0,0.5355
527.0,0.5435
528.0,0.5385
529.0,0.5315
530.0,0.534
531.0,0.5349999999999999
532.0,0.536
533.0,0.536
534.0,0.534
535.0,0.5389999999999999
536.0,0.5375
537.0,0.5095000000000001
538.0,0.5389999999999999
539.0,0.526
540.0,0.546
541.0,0.5185
542.0,0.513
543.0,0.5389999999999999
544.0,0.51
545.0,0.5255000000000001
546.0,0.52
547.0,0.5329999999999999
548.0,0.5475
549.0,0.5465
550.0,0.517
551.0,0.528
552.0,0.5085
553.0,0.514
554.0,0.52
555.0,0.5245
556.0,0.508
557.0,0.5365
558.0,0.5185
559.0,0.5449999999999999
560.0,0.527
561.0,0.529
562.0,0.5245
563.0,0.5215000000000001
564.0,0.515
565.0,0.5285
566.0,0.5395
567.0,0.5205
568.0,0.542
569.0,0.5165
570.0,0.5425
571.0,0.5245
572.0,0.5175000000000001
573.0,0.5355
574.0,0.536
575.0,0.5305
576.0,0.5429999999999999
577.0,0.5375
578.0,0.523
579.0,0.52
580.0,0.5165
581.0,0.518
582.0,0.532
583.0,0.5329999999999999
584.0,0.526
585.0,0.54
586.0,0.5369999999999999
587.0,0.55
588.0,0.5355
589.0,0.518
590.0,0.5205
591.0,0.5329999999999999
592.0,0.532
593.0,0.5255000000000001
594.0,0.5305
595.0,0.526
596.0,0.5389999999999999
597.0,0.526
598.0,0.5435
599.0,0.5405
600.0,0.5509999999999999
601.0,0.5475
602.0,0.54
603.0,0.5375
604.0,0.5489999999999999
605.0,0.525
606.0,0.517
607.0,0.5529999999999999
608.0,0.5135000000000001
609.0,0.548
610.0,0.5325
611.0,0.53
612.0,0.5389999999999999
613.0,0.5405
614.0,0.52
615.0,0.531
616.0,0.5095000000000001
617.0,0.5095000000000001
618.0,0.532
619.0,0.519
620.0,0.5305
621.0,0.5355
622.0,0.5345
623.0,0.5445
624.0,0.524
625.0,0.546
626.0,0.527
627.0,0.536
628.0,0.528
629.0,0.5315
630.0,0.5255000000000001
631.0,0.5115000000000001
632.0,0.5225
633.0,0.5305
634.0,0.5475
635.0,0.524
636.0,0.5415
637.0,0.531
638.0,0.5075000000000001
639.0,0.5225
640.0,0.514
641.0,0.5305
642.0,0.531
643.0,0.522
644.0,0.5175000000000001
645.0,0.524
646.0,0.5225
647.0,0.5225
648.0,0.5195000000000001
649.0,0.505
650.0,0.5295000000000001
651.0,0.5275000000000001
652.0,0.538
653.0,0.5385
654.0,0.522
655.0,0.5175000000000001
656.0,0.527
657.0,0.5429999999999999
658.0,0.516
659.0,0.5415
660.0,0.5425
661.0,0.5429999999999999
662.0,0.5425
663.0,0.5465
664.0,0.529
665.0,0.5355
666.0,0.5405
667.0,0.546
668.0,0.538
669.0,0.5429999999999999
670.0,0.5365
671.0,0.526
672.0,0.5375
673.0,0.5295000000000001
674.0,0.5329999999999999
675.0,0.5295000000000001
676.0,0.5435
677.0,0.523
678.0,0.5235000000000001
679.0,0.5015000000000001
680.0,0.5205
681.0,0.511
682.0,0.5429999999999999
683.0,0.5325
684.0,0.5475
685.0,0.5509999999999999
686.0,0.5285
687.0,0.5185
688.0,0.5215000000000001
689.0,0.525
690.0,0.531
691.0,0.525
692.0,0.5305
693.0,0.5215000000000001
694.0,0.528
695.0,0.5325
696.0,0.531
697.0,0.5375
698.0,0.538
699.0,0.5415
700.0,0.544
701.0,0.524
702.0,0.5455
703.0,0.5375
704.0,0.5395
705.0,0.5195000000000001
706.0,0.5345
707.0,0.5125
708.0,0.5409999999999999
709.0,0.5265
710.0,0.546
711.0,0.515
712.0,0.5085
713.0,0.5435
714.0,0.5435
715.0,0.5395
716.0,0.528
717.0,0.525
718.0,0.531
719.0,0.532
720.0,0.52
721.0,0.531
722.0,0.5409999999999999
723.0,0.528
724.0,0.523
725.0,0.54
726.0,0.5369999999999999
727.0,0.5155000000000001
728.0,0.5435
729.0,0.51
730.0,0.5425
731.0,0.5355
732.0,0.5415
