subject,ratio50,L1_baseline,L1_rule_based,L1_afriat_slack,top1_baseline,top1_rule_based,top1_afriat_slack,max_true,max_af,max_rb,max_base,delta
340,1.922240885288015,3.2199999999999998,4.280000000000002,44.7,1,1,0,39.3,50.89,41.44,40.91,1.7219773541485907e-05
341,3.114736012608353,16.38,17.38,24.78,1,1,1,46.25,50.49,54.94,53.37,0.0
342,2.031032794909447,9.560000000000004,0.4200000000000009,114.10000000000001,1,1,1,42.95,100.0,42.95,40.08,8.74566531452425
402,2.8156326331216412,70.78,13.300000000000011,59.58000000000002,0,0,0,42.52,66.84,43.7,55.56,7.536065195530512e-06
405,1.6326197561678026,74.42,61.98,120.28,0,0,0,58.75,78.83,43.22,43.89,2.6212926802134593
407,3.0769113847089224,21.539999999999996,21.520000000000003,5.460000000000001,1,1,1,46.56,46.0,36.03,54.76,3.8713322929406946
408,1.6047031547569761,6.219999999999999,10.620000000000001,42.56,1,1,0,52.66,45.89,57.97,49.89,17.256801792362456
409,1.3859147129407423,4.339999999999996,9.959999999999999,9.4,1,0,1,38.14,38.9,33.33,39.75,2.657946300078565
410,8.807731061646972,158.76,1.2000000000000008,4.4999999999999964,0,1,1,53.41,55.66,54.01,79.38,1.868958241092684
413,1.1365505156028846,19.720000000000002,34.12,57.2,0,0,0,35.92,62.43,47.03,39.83,10.106713215321017
417,7.970536145548221,38.56,7.039999999999993,161.84,1,1,0,50.5,46.14,47.52,69.78,1.0982140824557634
418,1.5925892777230826,5.900000000000006,3.8000000000000007,29.300000000000004,1,1,1,39.68,37.5,38.97,40.02,0.8608235758712357
422,6.6963782891542865,121.33999999999999,49.5,92.9,0,0,1,53.55,99.04,59.21,60.67,1.8122060349805068e-07
423,1.0632700274385323,12.700000000000003,17.400000000000006,158.78,1,1,0,36.86,13.25,45.56,38.6,1.9431174616351456
424,9.699000999001,178.6,131.12,173.08,0,0,0,98.8,86.67,33.33,78.15,9.121908965693027
426,2.155830828996555,66.76000000000002,34.64000000000001,27.499999999999986,0,1,1,68.76,79.21,58.39,36.36,13.197659872019484
427,1.4236875262494753,132.66000000000003,131.29999999999998,90.14,0,0,1,98.69,53.62,33.33,37.54,1.9927915596934537e-05
429,1.5878777042731986,4.800000000000003,19.679999999999996,14.09999999999999,1,1,0,38.83,38.79,38.52,41.23,4.082650345265477
