subject,ratio50,L1_baseline,L1_rule_based,top1_baseline,top1_rule_based,max_true,max_base,max_rb
542,1.247211518961671,1.5400000000000031,12.719999999999997,1,0,35.98,36.5,39.2
543,5.205419839778459,134.38,11.58,0,1,50.86,70.87,48.53
601,1.7202976876052094,25.22,18.34,0,0,38.25,40.32,36.88
602,1.4608147837043262,10.200000000000005,1.0199999999999994,0,1,40.0,38.43,39.65
603,1.181203398647477,25.059999999999995,6.619999999999998,0,1,38.87,41.82,35.76
604,1.3755221109858782,35.72,18.66,0,1,38.58,41.1,34.26
605,6.738723913531304,169.0,171.84000000000003,0,0,96.39,67.52,68.47
606,1.034518396031418,11.140000000000002,6.979999999999998,0,1,39.48,36.5,35.99
607,2.5214628635978538,43.62,21.619999999999997,0,0,40.65,57.52,37.5
608,1.8213259245066105,94.28000000000002,83.3,0,0,55.43,47.14,59.39
609,1.6554563698013978,4.879999999999994,12.439999999999992,1,1,45.22,43.38,40.67
610,1.9119015047879617,33.42,4.379999999999999,0,0,35.82,46.69,36.07
611,2.9582976736948567,118.34,65.9,0,0,49.93,59.55,33.33
612,2.1157932263814616,23.0,32.3,1,1,58.46,49.04,42.43
613,1.7874093605800923,96.6,68.53999999999999,0,0,49.76,50.47,36.44
614,3.029902557856273,154.5,110.94,0,1,98.03,53.81,43.02
615,2.1862112387848263,5.74,5.519999999999996,1,1,48.33,49.6,49.44
616,1.5826006806579693,12.14,12.040000000000004,1,1,42.86,48.93,48.88
617,6.263233054074639,79.92,55.16,0,0,51.07,73.51,50.0
618,3.29626201495194,35.300000000000004,17.74,1,1,46.3,63.95,37.96
619,3.400029919964096,23.000000000000007,23.360000000000003,1,1,50.91,60.1,39.55
620,1.1997232073350057,134.26,0.6999999999999943,0,1,99.54,38.08,99.89
621,9.49462984273111,144.06,22.640000000000004,0,0,51.93,72.03,58.96
622,4.0,32.260000000000005,30.92,1,1,53.17,67.72,44.39
623,2.8289495869162034,6.020000000000009,23.839999999999996,1,0,42.62,45.63,40.89
624,1.6982905217936097,3.279999999999992,8.680000000000003,1,1,46.3,46.09,42.12
625,1.8685968819599108,19.619999999999997,9.22000000000001,1,1,38.2,45.78,33.82
626,1.1039570102589153,8.960000000000006,10.319999999999999,1,0,34.58,36.74,37.66
627,2.4884437596302007,144.94,123.38,0,1,94.63,45.66,33.33
628,1.7326480665687714,7.38,33.160000000000004,1,1,52.74,49.18,36.28
629,1.670089649551752,142.92000000000002,2.4599999999999898,0,1,98.65,53.06,99.88
630,2.1167990425416168,109.60000000000001,24.900000000000002,0,0,51.86,55.19,44.3
631,1.3517789553368662,11.659999999999993,29.319999999999993,1,0,37.86,35.15,41.08
632,2.066950643578109,7.8,10.159999999999998,1,1,45.98,42.36,41.07
700,1.1143720748829953,10.620000000000003,28.600000000000005,0,0,34.81,36.06,40.34
701,8.728682170542637,136.60000000000002,28.04,0,0,46.32,79.51,40.58
702,3.7295477295477295,54.7,20.48,1,1,40.98,68.33,35.25
703,1.3486020681731137,0.3600000000000038,0.30000000000000115,1,1,38.91,39.02,38.91
704,2.5376856036152353,5.099999999999998,1.959999999999996,1,1,49.69,48.81,49.06
705,3.24585183454078,13.500000000000002,25.88,1,0,49.17,48.78,40.55
706,5.914465512958516,46.84,35.72,1,1,41.43,53.24,59.29
707,2.5589820359281434,110.92,88.36,0,0,74.45,44.97,41.83
708,2.662066586165258,45.16,13.540000000000001,0,0,37.74,49.31,37.96
800,1.2586425339366516,29.020000000000003,16.580000000000002,0,1,46.85,35.52,38.79
801,4.84537895746722,21.639999999999993,5.459999999999999,1,1,55.45,65.02,58.18
802,4.788947553678282,1.639999999999993,52.66,1,0,53.06,53.41,40.32
803,6.297611940298508,31.100000000000005,32.49999999999999,1,1,62.66,70.84,60.13
804,1.8660940854967791,0.7199999999999995,1.0799999999999992,1,1,41.3,41.4,41.68
805,2.071336824424464,42.00000000000001,9.239999999999997,0,1,38.46,43.11,37.85
806,1.7329893360853112,48.68000000000001,23.340000000000007,0,0,47.38,50.22,37.03
807,2.520210565895845,1.56,1.6000000000000099,1,1,46.65,47.0,47.45
808,1.6544074147111023,29.12,13.079999999999998,0,0,39.76,38.15,33.33
809,1.19641989308278,21.499999999999993,17.439999999999994,0,0,37.8,37.78,35.75
