subject,ok,price_ratio50,true_spend,af_min,af_max,af_width,dist_to_band,covered,nar_spend,nar_abs_err,nar_in_band,outside
417,1,7.970536145548221,16.4,12.86,12.86,0.0,3.539999999999999,0,9.71,6.689999999999998,0,1
418,1,1.5925892777230826,22.12,39.56,39.56,0.0,17.44,0,24.73,2.6099999999999994,0,1
422,1,6.6963782891542865,46.18,0.0,0.89,0.89,45.29,0,31.03,15.149999999999999,0,1
423,1,1.0632700274385323,28.46,34.93,34.93,0.0,6.469999999999999,0,36.39,7.93,0,1
424,1,9.699000999001,98.8,35.25,35.25,0.0,63.55,0,12.54,86.25999999999999,0,1
426,1,2.155830828996555,17.49,15.49,15.49,0.0,1.9999999999999982,0,36.37,18.88,0,1
427,1,1.4236875262494753,0.85,27.56,33.91,6.349999999999998,26.709999999999997,0,35.59,34.74,0,1
429,1,1.5878777042731986,38.83,34.65,34.65,0.0,4.18,0,39.96,1.1300000000000026,0,1
430,1,1.0793969043227205,29.59,26.42,35.9,9.479999999999997,0.0,1,34.22,4.629999999999999,1,0
431,1,5.9316705637828,44.23,35.89,45.53,9.64,0.0,1,14.12,30.11,0,0
434,1,2.7963276153660304,50.67,25.45,25.45,0.0,25.220000000000002,0,22.14,28.53,0,1
436,1,2.764458124088774,56.31,50.69,53.43,2.740000000000002,2.8800000000000026,0,59.5,3.1899999999999977,0,1
437,1,1.5736014872401556,95.38,15.14,20.08,4.939999999999998,75.3,0,31.99,63.39,0,1
438,1,4.113413715146947,36.24,0.0,26.21,26.21,10.030000000000001,0,65.57,29.32999999999999,0,1
439,1,4.174171842650103,25.81,0.0,6.86,6.86,18.95,0,72.13,46.31999999999999,0,1
440,1,1.5586249999999997,41.76,28.52,28.52,0.0,13.239999999999998,0,35.11,6.649999999999999,0,1
441,1,8.25676432170181,12.39,0.0,0.0,0.0,12.39,0,66.14,53.75,0,1
442,1,1.094783313812055,0.24,8.1,47.59,39.49,7.859999999999999,0,34.53,34.29,1,1
443,1,5.065474254742548,3.74,0.0,0.0,0.0,3.74,0,82.56,78.82000000000001,0,1
501,1,1.8863545816733067,11.11,16.02,56.53,40.510000000000005,4.91,0,16.44,5.330000000000002,1,1
502,1,1.4581871884807092,33.59,24.79,55.15,30.36,0.0,1,26.43,7.160000000000004,1,0
510,1,2.8433012466466785,34.98,42.4,42.4,0.0,7.420000000000002,0,20.49,14.489999999999998,0,1
513,1,5.091525630842549,34.17,0.0,3.09,3.09,31.080000000000002,0,72.56,38.39,0,1
517,1,3.178649055341916,63.4,54.92,62.71,7.789999999999999,0.6899999999999977,0,27.38,36.019999999999996,0,1
520,1,2.166677716634622,47.71,39.23,39.23,0.0,8.480000000000004,0,53.08,5.369999999999997,0,1
522,1,1.7777473780209758,33.14,0.0,2.96,2.96,30.18,0,47.22,14.079999999999998,0,1
524,1,2.867495604119568,36.99,17.77,17.77,0.0,19.220000000000002,0,51.75,14.759999999999998,0,1
527,1,1.8754241994200036,22.85,17.79,23.7,5.91,0.0,1,22.54,0.3100000000000023,1,0
529,1,5.14388798213212,49.83,24.12,24.12,0.0,25.709999999999997,0,17.13,32.7,0,1
530,1,1.9054768288012254,56.92,53.62,60.15,6.530000000000001,0.0,1,22.21,34.71,0,0
536,1,1.5860720603295781,38.02,34.83,34.92,0.09000000000000341,3.1000000000000014,0,42.21,4.189999999999998,0,1
540,1,1.5914110429447854,40.86,14.55,24.77,10.219999999999999,16.09,0,38.77,2.0899999999999963,0,1
541,1,8.607462686567164,0.25,0.0,1.83,1.83,0.0,1,14.56,14.31,0,0
542,1,1.247211518961671,30.91,31.74,35.09,3.350000000000005,0.8299999999999983,0,33.76,2.849999999999998,1,1
543,1,5.205419839778459,50.86,27.6,29.36,1.759999999999998,21.5,0,12.58,38.28,0,1
601,1,1.7202976876052094,27.71,16.74,19.43,2.6900000000000013,8.280000000000001,0,41.06,13.350000000000001,0,1
602,1,1.4608147837043262,26.43,22.91,40.16,17.249999999999996,0.0,1,23.6,2.8299999999999983,1,0
603,1,1.181203398647477,29.29,36.91,54.68,17.770000000000003,7.619999999999997,0,44.95,15.660000000000004,1,1
604,1,1.3755221109858782,38.58,37.85,41.75,3.8999999999999986,0.0,1,28.64,9.939999999999998,0,0
605,1,6.738723913531304,1.8,0.0,0.0,0.0,1.8,0,67.69,65.89,0,1
606,1,1.034518396031418,30.93,33.01,45.61,12.600000000000001,2.0799999999999983,0,38.6,7.670000000000002,1,1
607,1,2.5214628635978538,40.65,20.3,21.45,1.1499999999999986,19.2,0,21.7,18.95,0,1
608,1,1.8213259245066105,55.43,40.97,57.35,16.380000000000003,0.0,1,36.92,18.509999999999998,0,0
609,1,1.6554563698013978,45.22,38.1,42.7,4.600000000000001,2.519999999999996,0,44.87,0.3500000000000014,0,1
610,1,1.9119015047879617,35.82,75.86,75.86,0.0,40.04,0,25.18,10.64,0,1
611,1,2.9582976736948567,49.93,17.28,48.91,31.629999999999995,1.0200000000000031,0,22.69,27.24,1,1
612,1,2.1157932263814616,27.35,27.04,29.51,2.4700000000000024,0.0,1,25.73,1.620000000000001,0,0
613,1,1.7874093605800923,49.76,20.07,39.39,19.32,10.369999999999997,0,29.21,20.549999999999997,1,1
614,1,3.029902557856273,1.0,18.23,18.23,0.0,17.23,0,48.9,47.9,0,1
615,1,2.1862112387848263,22.87,35.65,79.79,44.14000000000001,12.779999999999998,0,24.82,1.9499999999999993,0,1
616,1,1.5826006806579693,27.36,16.3,30.83,14.529999999999998,0.0,1,22.19,5.169999999999998,1,0
617,1,6.263233054074639,33.55,0.0,2.23,2.23,31.319999999999997,0,72.41,38.86,0,1
618,1,3.29626201495194,46.3,37.73,46.18,8.450000000000003,0.11999999999999744,0,65.61,19.310000000000002,0,1
619,1,3.400029919964096,17.63,32.84,32.84,0.0,15.210000000000004,0,22.0,4.370000000000001,0,1
620,1,1.1997232073350057,0.13,17.41,39.96,22.55,17.28,0,34.96,34.83,1,1
621,1,9.49462984273111,47.64,0.0,0.0,0.0,47.64,0,19.31,28.330000000000002,0,1
622,1,4.0,53.17,0.0,6.31,6.31,46.86,0,70.18,17.010000000000005,0,1
623,1,2.8289495869162034,42.62,40.1,48.12,8.019999999999996,0.0,1,45.15,2.530000000000001,1,0
624,1,1.6982905217936097,27.15,25.81,31.38,5.57,0.0,1,27.04,0.10999999999999943,1,0
625,1,1.8685968819599108,31.9,34.88,34.88,0.0,2.980000000000004,0,20.65,11.25,0,1
626,1,1.1039570102589153,32.39,10.08,23.87,13.790000000000001,8.52,0,31.44,0.9499999999999993,0,1
627,1,2.4884437596302007,3.2,23.79,23.8,0.010000000000001563,20.59,0,46.49,43.29,0,1
628,1,1.7326480665687714,52.74,30.59,30.59,0.0,22.150000000000002,0,45.52,7.219999999999999,0,1
629,1,1.670089649551752,98.65,29.87,29.87,0.0,68.78,0,28.15,70.5,0,1
630,1,2.1167990425416168,0.39,0.0,0.0,0.0,0.39,0,57.76,57.37,0,1
631,1,1.3517789553368662,37.86,25.17,46.13,20.96,0.0,1,31.37,6.489999999999998,1,0
632,1,2.066950643578109,37.43,28.68,33.56,4.880000000000003,3.8699999999999974,0,37.31,0.11999999999999744,0,1
700,1,1.1143720748829953,34.81,4.81,25.63,20.82,9.180000000000003,0,29.5,5.310000000000002,0,1
701,1,8.728682170542637,46.32,12.69,15.9,3.210000000000001,30.42,0,10.04,36.28,0,1
702,1,3.7295477295477295,38.46,49.16,71.94,22.78,10.699999999999996,0,17.28,21.18,0,1
703,1,1.3486020681731137,31.94,28.27,36.2,7.930000000000003,0.0,1,31.98,0.03999999999999915,1,0
704,1,2.5376856036152353,49.69,42.67,42.68,0.00999999999999801,7.009999999999998,0,47.08,2.6099999999999994,0,1
705,1,3.24585183454078,22.85,54.82,54.82,0.0,31.97,0,16.29,6.560000000000002,0,1
