subject,ok,price_ratio50,true_spend,af_min,af_max,af_width,dist_to_band,covered,nar_spend,nar_abs_err,nar_in_band,outside
606,1,1.034518396031418,29.51,21.56,28.06,6.5,1.4500000000000028,0,28.77,0.740000000000002,0,1
607,1,2.5214628635978538,35.71,47.15,47.99,0.8400000000000034,11.439999999999998,0,53.89,18.18,0,1
608,1,1.8213259245066105,44.36,33.74,52.52,18.78,0.0,1,16.87,27.49,0,0
609,1,1.6554563698013978,31.4,25.47,39.86,14.39,0.0,1,31.14,0.259999999999998,1,0
610,1,1.9119015047879617,33.88,24.14,24.14,0.0,9.740000000000002,0,28.62,5.260000000000002,0,1
611,1,2.9582976736948567,49.49,23.75,58.19,34.44,0.0,1,21.49,28.000000000000004,0,0
612,1,2.1157932263814616,58.46,41.87,43.84,1.970000000000006,14.619999999999997,0,47.84,10.619999999999997,0,1
613,1,1.7874093605800923,47.82,23.95,38.01,14.059999999999999,9.810000000000002,0,20.53,27.29,0,1
614,1,3.029902557856273,0.4,24.94,24.95,0.00999999999999801,24.540000000000003,0,21.15,20.75,0,1
615,1,2.1862112387848263,48.33,0.0,6.85,6.85,41.48,0,48.17,0.1599999999999966,0,1
616,1,1.5826006806579693,29.51,22.69,39.09,16.400000000000002,0.0,1,27.54,1.9700000000000024,1,0
617,1,6.263233054074639,15.02,16.03,21.44,5.41,1.0100000000000016,0,11.13,3.889999999999999,0,1
618,1,3.29626201495194,31.43,15.7,25.27,9.57,6.16,0,17.44,13.989999999999998,1,1
619,1,3.400029919964096,50.91,28.35,28.35,0.0,22.559999999999995,0,59.86,8.950000000000003,0,1
620,1,1.1997232073350057,99.54,25.89,68.21,42.31999999999999,31.330000000000013,0,30.15,69.39000000000001,1,1
621,1,9.49462984273111,0.0,0.0,0.0,0.0,0.0,1,72.33,72.33,0,0
622,1,4.0,18.33,27.23,33.38,6.150000000000002,8.900000000000002,0,20.88,2.5500000000000007,0,1
623,1,2.8289495869162034,22.78,34.88,57.2,22.32,12.100000000000001,0,21.29,1.490000000000002,0,1
624,1,1.6982905217936097,26.33,29.24,42.38,13.140000000000004,2.91,0,27.03,0.7000000000000028,0,1
625,1,1.8685968819599108,38.2,31.39,31.39,0.0,6.810000000000002,0,48.4,10.199999999999996,0,1
626,1,1.1039570102589153,34.58,25.18,38.5,13.32,0.0,1,29.04,5.539999999999999,1,0
627,1,2.4884437596302007,1.77,12.74,12.74,0.0,10.97,0,26.93,25.16,0,1
628,1,1.7326480665687714,20.43,36.74,36.74,0.0,16.310000000000002,0,24.16,3.7300000000000004,0,1
629,1,1.670089649551752,0.2,0.0,0.0,0.0,0.2,0,49.06,48.86,0,1
630,1,2.1167990425416168,51.86,8.79,8.79,0.0,43.07,0,22.16,29.7,0,1
631,1,1.3517789553368662,35.48,18.15,31.61,13.46,3.8699999999999974,0,33.36,2.1199999999999974,0,1
632,1,2.066950643578109,45.98,11.64,29.12,17.48,16.859999999999996,0,44.63,1.3499999999999943,0,1
700,1,1.1143720748829953,30.97,24.2,56.49,32.290000000000006,0.0,1,32.35,1.3800000000000026,1,0
701,1,8.728682170542637,41.65,83.48,87.31,3.8299999999999983,41.830000000000005,0,9.25,32.4,0,1
702,1,3.7295477295477295,20.22,27.95,48.84,20.890000000000004,7.73,0,16.44,3.7799999999999976,0,1
703,1,1.3486020681731137,38.91,34.23,38.86,4.630000000000003,0.04999999999999716,0,39.01,0.10000000000000142,0,1
704,1,2.5376856036152353,30.8,28.09,28.09,0.0,2.710000000000001,0,29.37,1.4299999999999997,0,1
705,1,3.24585183454078,49.17,0.0,0.0,0.0,49.17,0,43.78,5.390000000000001,0,1
